kwalitas,kualitas
ky,seperti
kya,seperti
kyak,seperti
kyk,seperti
kykny,kayanya
la,lah
laamaaaa,lambat
lam,salam
lamaa,lama
launching,keluar
lbh,lebih
lebay,berlebihan
leh,boleh
lg,lagi
lg,lagi
lgi,lagi
lgkp,lengkap
lgs,langsung
lgsg,langsung
lht,lihat
liat,lihat
lmyan,lumayan
lmyn,lumayan
lngkp,lengkap
lngsung,langsung
lo,kamu
local,lokal
loch,loh
loe,kamu
lol,tertawa
lola,lambat berfikir
lom,belum
lp,lupa
lsg,langsung
lu,kamu
luh,kamu
lum,belum
lw,kamu
lwn,lawan
lwt,lewat
maacih,terima kasih
maaciw,terima kasih
macem,macam
macem-macem,macam-macam
macih,masih
maem,makan
maen,main
maf,maaf
mak,ibu
makai,pakai
makane,makanya
makasih,terima kasih
makek,pakai
maksain,memaksa
malah,bahkan
malees,malas
malem,malam
males,malas
malu2in,memalukan
mam,makan
mamz,makan
maneh,kamu
manen,panen
mang,memang
manggil,panggil
mantabss,bagus
manteman,teman-teman
mantep,mantap
mantul,mantap betul
mantulliti,mantap sekali
mao,mau
maslah,masalah
mastiin,memastikan
masukin,masukkan
masy,masyarakat
maybe,mungkin
mb,mbak
mba,mbak
mbk,mba
mbok,tolong
medsos,media sosial
mehong,mahal
melu,ikut
mending,lebih baik
menolak,tolak
mepet,dekat sekali
mf,maaf
mgkin,mungkin
mgkn,mungkin
mh,maha
mhal,mahal
mhn,mohon
mka,maka
mkai,pakai
mkn,makan
mknya,makanya
mksd,maksud
mksdnya,maksudnya
mlah,malah
mlh,malah
mls,malas
mmg,memang
mmng,memang
mn,mana
mncak,marah
mncoba,mencoba
mndukung,mendukung
mngkn,mungkin
mnipu,menipu
mnolak,menolak
mnt,minta
mnta,minta
mo,mau
mpe,sampai
mrk,mereka
msh,masih
msk,masuk
mskpn,meskipun
mslh,masalah
mslhnya,masalahnya
msng2,masing-masing
msrkt,masyarakat
muahal,mahal
muke,muka
mulu,melulu
mumet,pusing
mumpung,selagi
muna,munafik
munfik,munafik
musti,mesti
mw,mau
mz,mas
n,dan
naas,nahas
nal,kenal
nanam,menanam
nang,ke
nangis,menangis
nanya,bertanya
naon,apa
napa,kenapa
naq,anak
narsis,bangga pada diri sendiri
nax,anak
nda,tidak
ndak,tidak
ndiri,sendiri
ndut,gendut
ne,ini
nemu,menemukan
new,baru
next,lanjut
ng,tidak
ngabis2in,menghabiskan
ngabuburit,menunggu berbuka puasa
ngaco,kacau
ngak,tidak
ngak,tidak
